unique_id,name_id,surname,first_name,common_name,display_name,gender,title,electorate,birth_date,death_date,form1,form2,form3,form4,form5,source
Bandt1972,M3C,Bandt,Adam,,"Bandt, Adam",male,,Melbourne,1972-03-11,,Mr Adam Bandt,Mr Bandt,MR ADAM BANDT,MR BANDT,Bandt,AustralianPoliticians
Banks1962,18661,Banks,Julia,,"Banks, Julia",female,,Chisholm,1962-09-18,,Ms Julia Banks,Ms Banks,MS JULIA BANKS,MS BANKS,Banks,AustralianPoliticians
Barnard1890,JNX,Barnard,Herbert,Claude,"Barnard, Claude",male,,Bass,1890-10-16,1957-12-06,Mr Claude Barnard,Mr Barnard,MR CLAUDE BARNARD,MR BARNARD,Barnard,AustralianPoliticians
Barnard1919,JO8,Barnard,Lance,,"Barnard, Lance",male,,Bass,1919-05-01,1997-08-06,Mr Lance Barnard,Mr Barnard,MR LANCE BARNARD,MR BARNARD,Barnard,AustralianPoliticians
Barnes1901,JOA,Barnes,Charles,Ced,"Barnes, Ced",male,,McPherson,1901-11-13,1998-10-24,Mr Ced Barnes,Mr Barnes,MR CED BARNES,MR BARNES,Barnes,AustralianPoliticians
Barresi1955,ZJ6,Barresi,Phillip,Phil,"Barresi, Phil",male,,Deakin,1955-08-08,,Mr Phil Barresi,Mr Barresi,MR PHIL BARRESI,MR BARRESI,Barresi,AustralianPoliticians
Bartlett1949,0K6,Bartlett,Kerry,,"Bartlett, Kerry",male,,Macquarie,1949-04-15,,Mr Kerry Bartlett,Mr Bartlett,MR KERRY BARTLETT,MR BARTLETT,Bartlett,AustralianPoliticians
Barton1849,009LR,Barton,Edmund,,"Barton, Edmund",male,,Hunter,1849-01-18,1920-01-07,Mr Edmund Barton,Mr Barton,MR EDMUND BARTON,MR BARTON,Barton,AustralianPoliticians
Barwick1903,126,Barwick,Garfield,,"Barwick, Garfield",male,Sir,Parramatta,1903-06-22,1997-07-13,Mr Garfield Barwick,Mr Barwick,MR GARFIELD BARWICK,MR BARWICK,Barwick,AustralianPoliticians
Batchelor1865,JOC,Batchelor,Egerton,Lee,"Batchelor, Lee",male,,Boothby,1865-04-10,1911-10-08,Mr Lee Batchelor,Mr Batchelor,MR LEE BATCHELOR,MR BATCHELOR,Batchelor,AustralianPoliticians
Bate1906,JOE,Bate,Henry,Jeff,"Bate, Jeff",male,,Macarthur,1906-03-05,1984-04-15,Mr Jeff Bate,Mr Bate,MR JEFF BATE,MR BATE,Bate,AustralianPoliticians
Baume1930,LE4,Baume,Michael,,"Baume, Michael",male,,Macarthur,1930-07-06,,Mr Michael Baume,Mr Baume,MR MICHAEL BAUME,MR BAUME,Baume,AustralianPoliticians
Bayley1882,JOG,Bayley,James,,"Bayley, James",male,,Oxley,1882-03-26,1968-01-14,Mr James Bayley,Mr Bayley,MR JAMES BAYLEY,MR BAYLEY,Bayley,AustralianPoliticians
Beale1898,JOI,Beale,Oliver,Howard,"Beale, Howard",male,,Parramatta,1898-12-10,1983-10-17,Mr Howard Beale,Mr Beale,MR HOWARD BEALE,MR BEALE,Beale,AustralianPoliticians
Beale1934,OE4,Beale,Julian,,"Beale, Julian",male,,Bruce,1934-10-10,,Mr Julian Beale,Mr Beale,MR JULIAN BEALE,MR BEALE,Beale,AustralianPoliticians
Beard1866,JOK,Beard,Henry,,"Beard, Henry",male,,Batman,1866-01-20,1910-12-18,Mr Henry Beard,Mr Beard,MR HENRY BEARD,MR BEARD,Beard,AustralianPoliticians
Beasley1895,JOM,Beasley,John,Jack,"Beasley, Jack",male,,West Sydney,1895-11-09,1949-09-02,Mr Jack Beasley,Mr Beasley,MR JACK BEASLEY,MR BEASLEY,Beasley,AustralianPoliticians
Beaton1925,JOO,Beaton,Noel,,"Beaton, Noel",male,,Bendigo,1925-12-28,2004-12-18,Mr Noel Beaton,Mr Beaton,MR NOEL BEATON,MR BEATON,Beaton,AustralianPoliticians
Beazley1917,JF7,Beazley,Kim,Kim (Sr),"Beazley, Kim (Sr)",male,,Fremantle,1917-09-30,2007-10-12,Mr Kim (Sr) Beazley,Mr Beazley,MR KIM (SR) BEAZLEY,MR BEAZLEY,Beazley,AustralianPoliticians
Beazley1948,PE4,Beazley,Kim,Kim (Jr),"Beazley, Kim (Jr)",male,,Brand,1948-12-14,,Mr Kim (Jr) Beazley,Mr Beazley,MR KIM (JR) BEAZLEY,MR BEAZLEY,Beazley,AustralianPoliticians
Beck1882,JOQ,Beck,Arthur,,"Beck, Arthur",male,,Denison,1882-07-08,1965-11-28,Mr Arthur Beck,Mr Beck,MR ARTHUR BECK,MR BECK,Beck,AustralianPoliticians
Beddall1948,QE4,Beddall,David,,"Beddall, David",male,,Rankin,1948-11-27,,Mr David Beddall,Mr Beddall,MR DAVID BEDDALL,MR BEDDALL,Beddall,AustralianPoliticians
Bell1872,JOS,Bell,George,,"Bell, George",male,,Darwin,1872-11-29,1944-03-05,Mr George Bell,Mr Bell,MR GEORGE BELL,MR BELL,Bell,AustralianPoliticians
Bell1968,282981,Bell,Angie,,"Bell, Angie",female,,Moncrieff,1968-07-11,,Ms Angie Bell,Ms Bell,MS ANGIE BELL,MS BELL,Bell,AustralianPoliticians
Bennett1872,JOW,Bennett,Benjamin,,"Bennett, Benjamin",male,,Werriwa,,1939-07-12,Mr Benjamin Bennett,Mr Bennett,MR BENJAMIN BENNETT,MR BENNETT,Bennett,AustralianPoliticians
Bennett1874,JOY,Bennett,James,,"Bennett, James",male,,Gippsland,,1951-11-23,Mr James Bennett,Mr Bennett,MR JAMES BENNETT,MR BENNETT,Bennett,AustralianPoliticians
Bennett1933,JOU,Bennett,Adrian,,"Bennett, Adrian",male,,Swan,1933-01-21,2006-05-09,Mr Adrian Bennett,Mr Bennett,MR ADRIAN BENNETT,MR BENNETT,Bennett,AustralianPoliticians
Benson1909,JP5,Benson,Samuel,Sam,"Benson, Sam",male,,Batman,1909-07-12,1995-07-26,Mr Sam Benson,Mr Benson,MR SAM BENSON,MR BENSON,Benson,AustralianPoliticians
Berinson1932,JP8,Berinson,Joseph,Joe,"Berinson, Joe",male,,Perth,1932-01-07,2018-06-02,Mr Joe Berinson,Mr Berinson,MR JOE BERINSON,MR BERINSON,Berinson,AustralianPoliticians
Berry1907,JPA,Berry,Douglas,Doug,"Berry, Doug",male,,Griffith,1907-05-03,1957-04-17,Mr Doug Berry,Mr Berry,MR DOUG BERRY,MR BERRY,Berry,AustralianPoliticians
Best1856,JPC,Best,Robert,,"Best, Robert",male,,Kooyong,1856-06-18,1946-03-27,Mr Robert Best,Mr Best,MR ROBERT BEST,MR BEST,Best,AustralianPoliticians
Bevis1955,ET4,Bevis,Archibald,Arch,"Bevis, Arch",male,,Brisbane,1955-04-10,,Mr Arch Bevis,Mr Bevis,MR ARCH BEVIS,MR BEVIS,Bevis,AustralianPoliticians
Bidgood1959,HVM,Bidgood,James,,"Bidgood, James",male,,Dawson,1959-05-26,,Mr James Bidgood,Mr Bidgood,MR JAMES BIDGOOD,MR BIDGOOD,Bidgood,AustralianPoliticians
Billson1966,1K6,Billson,Bruce,,"Billson, Bruce",male,,Dunkley,1966-01-26,,Mr Bruce Billson,Mr Billson,MR BRUCE BILLSON,MR BILLSON,Billson,AustralianPoliticians
Bilney1939,RE4,Bilney,Gordon,,"Bilney, Gordon",male,,Kingston,1939-06-21,2012-10-28,Mr Gordon Bilney,Mr Bilney,MR GORDON BILNEY,MR BILNEY,Bilney,AustralianPoliticians
Bird1906,JPE,Bird,Alan,,"Bird, Alan",male,,Batman,1906-09-28,1962-07-21,Mr Alan Bird,Mr Bird,MR ALAN BIRD,MR BIRD,Bird,AustralianPoliticians
Bird1962,DZP,Bird,Sharon,,"Bird, Sharon",female,,Cunningham,1962-11-15,,Ms Sharon Bird,Ms Bird,MS SHARON BIRD,MS BIRD,Bird,AustralianPoliticians
Birney1928,JPG,Birney,Reginald,Jack,"Birney, Jack",male,,Phillip,1928-09-26,1995-01-01,Mr Jack Birney,Mr Birney,MR JACK BIRNEY,MR BIRNEY,Birney,AustralianPoliticians
Birrell1913,JPJ,Birrell,Frederick,Fred,"Birrell, Fred",male,,Port Adelaide,1913-12-07,1985-07-23,Mr Fred Birrell,Mr Birrell,MR FRED BIRRELL,MR BIRRELL,Birrell,AustralianPoliticians
Bishop1942,SE4,Bishop,Bronwyn,,"Bishop, Bronwyn",female,,Mackellar,1942-10-19,,Ms Bronwyn Bishop,Ms Bishop,MS BRONWYN BISHOP,MS BISHOP,Bishop,AustralianPoliticians
Bishop1956,83P,Bishop,Julie,,"Bishop, Julie",female,,Curtin,1956-07-17,,Ms Julie Bishop,Ms Bishop,MS JULIE BISHOP,MS BISHOP,Bishop,AustralianPoliticians
Blackburn1880,JPN,Blackburn,Maurice,,"Blackburn, Maurice",male,,Bourke,1880-11-19,1944-03-31,Mr Maurice Blackburn,Mr Blackburn,MR MAURICE BLACKBURN,MR BLACKBURN,Blackburn,AustralianPoliticians
Blackburn1889,JPL,Blackburn,Doris,,"Blackburn, Doris",female,,Bourke,1889-09-18,1970-12-12,Ms Doris Blackburn,Ms Blackburn,MS DORIS BLACKBURN,MS BLACKBURN,Blackburn,AustralianPoliticians
Blacklow1879,JPP,Blacklow,Archibald,,"Blacklow, Archibald",male,,Franklin,1879-10-11,1965-04-04,Mr Archibald Blacklow,Mr Blacklow,MR ARCHIBALD BLACKLOW,MR BLACKLOW,Blacklow,AustralianPoliticians
Blackwood1861,JPR,Blackwood,Robert,,"Blackwood, Robert",male,,Riverina,1861-06-20,1940-09-22,Mr Robert Blackwood,Mr Blackwood,MR ROBERT BLACKWOOD,MR BLACKWOOD,Blackwood,AustralianPoliticians
Blain1894,JPT,Blain,Adair,,"Blain, Adair",male,,Northern Territory,1894-11-21,1983-04-28,Mr Adair Blain,Mr Blain,MR ADAIR BLAIN,MR BLAIN,Blain,AustralianPoliticians
Blakeley1886,JPV,Blakeley,Arthur,,"Blakeley, Arthur",male,,Darling,1886-07-03,1972-06-27,Mr Arthur Blakeley,Mr Blakeley,MR ARTHUR BLAKELEY,MR BLAKELEY,Blakeley,AustralianPoliticians
Blanchard1929,UE4,Blanchard,Cecil,Allen,"Blanchard, Allen",male,,Moore,1929-04-17,2008-10-25,Mr Allen Blanchard,Mr Blanchard,MR ALLEN BLANCHARD,MR BLANCHARD,Blanchard,AustralianPoliticians
Bland1882,JQ7,Bland,Francis,,"Bland, Francis",male,,Warringah,1882-08-24,1967-04-09,Mr Francis Bland,Mr Bland,MR FRANCIS BLAND,MR BLAND,Bland,AustralianPoliticians
Blewett1933,VE4,Blewett,Neal,,"Blewett, Neal",male,,Bonython,1933-10-24,,Mr Neal Blewett,Mr Blewett,MR NEAL BLEWETT,MR BLEWETT,Blewett,AustralianPoliticians
Blundell1871,JQ9,Blundell,Reginald,,"Blundell, Reginald",male,,Adelaide,1871-02-04,1945-08-09,Mr Reginald Blundell,Mr Blundell,MR REGINALD BLUNDELL,MR BLUNDELL,Blundell,AustralianPoliticians
Blunt1951,WE4,Blunt,Charles,,"Blunt, Charles",male,,Richmond,1951-01-19,,Mr Charles Blunt,Mr Blunt,MR CHARLES BLUNT,MR BLUNT,Blunt,AustralianPoliticians
Bonnett1916,JQB,Bonnett,Robert,,"Bonnett, Robert",male,,Herbert,1916-09-01,1992-04-21,Mr Robert Bonnett,Mr Bonnett,MR ROBERT BONNETT,MR BONNETT,Bonnett,AustralianPoliticians
Bonython1848,JR7,Bonython,John,,"Bonython, John",male,Sir,Barker,1848-10-15,1939-10-22,Mr John Bonython,Mr Bonython,MR JOHN BONYTHON,MR BONYTHON,Bonython,AustralianPoliticians
Bosman1924,JR9,Bosman,Leonard,Len,"Bosman, Len",male,,St George,1924-02-05,2017-02-06,Mr Len Bosman,Mr Bosman,MR LEN BOSMAN,MR BOSMAN,Bosman,AustralianPoliticians
Bostock1892,JRB,Bostock,William,,"Bostock, William",male,,Indi,1892-02-05,1968-04-28,Mr William Bostock,Mr Bostock,MR WILLIAM BOSTOCK,MR BOSTOCK,Bostock,AustralianPoliticians
Bourchier1929,JRD,Bourchier,John,,"Bourchier, John",male,,Bendigo,1929-10-12,2017-08-31,Mr John Bourchier,Mr Bourchier,MR JOHN BOURCHIER,MR BOURCHIER,Bourchier,AustralianPoliticians
Bourke1913,JRF,Bourke,William,Bill,"Bourke, Bill",male,,Fawkner,1913-06-02,1981-05-22,Mr Bill Bourke,Mr Bourke,MR BILL BOURKE,MR BOURKE,Bourke,AustralianPoliticians
Bowden1871,JRH,Bowden,Eric,,"Bowden, Eric",male,,Parramatta,1871-09-30,1931-02-13,Mr Eric Bowden,Mr Bowden,MR ERIC BOWDEN,MR BOWDEN,Bowden,AustralianPoliticians
Bowden1888,JRJ,Bowden,George,,"Bowden, George",male,,Gippsland,1888-03-17,1962-06-08,Mr George Bowden,Mr Bowden,MR GEORGE BOWDEN,MR BOWDEN,Bowden,AustralianPoliticians
Bowen1911,JRN,Bowen,Nigel,,"Bowen, Nigel",male,,Parramatta,1911-05-26,1994-09-27,Mr Nigel Bowen,Mr Bowen,MR NIGEL BOWEN,MR BOWEN,Bowen,AustralianPoliticians
Bowen1922,ZE4,Bowen,Lionel,,"Bowen, Lionel",male,,Kingsford-Smith,1922-12-28,2012-04-01,Mr Lionel Bowen,Mr Bowen,MR LIONEL BOWEN,MR BOWEN,Bowen,AustralianPoliticians
Bowen1973,DZS,Bowen,Christopher,Chris,"Bowen, Chris",male,,McMahon,1973-01-17,,Mr Chris Bowen,Mr Bowen,MR CHRIS BOWEN,MR BOWEN,Bowen,AustralianPoliticians
Boyd1867,JRP,Boyd,James,,"Boyd, James",male,,Henty,1867-07-07,1941-04-12,Mr James Boyd,Mr Boyd,MR JAMES BOYD,MR BOYD,Boyd,AustralianPoliticians
Bradbury1976,HVW,Bradbury,David,,"Bradbury, David",male,,Lindsay,1976-02-28,,Mr David Bradbury,Mr Bradbury,MR DAVID BRADBURY,MR BRADBURY,Bradbury,AustralianPoliticians
Braddon1829,JRR,Braddon,Edward,,"Braddon, Edward",male,Sir,Wilmot,1829-06-11,1904-02-02,Mr Edward Braddon,Mr Braddon,MR EDWARD BRADDON,MR BRADDON,Braddon,AustralianPoliticians
Bradfield1933,JRU,Bradfield,James,Jim,"Bradfield, Jim",male,,Barton,1933-07-30,1989-11-19,Mr Jim Bradfield,Mr Bradfield,MR JIM BRADFIELD,MR BRADFIELD,Bradfield,AustralianPoliticians
Bradford1946,FT4,Bradford,John,,"Bradford, John",male,,McPherson,1946-01-03,,Mr John Bradford,Mr Bradford,MR JOHN BRADFORD,MR BRADFORD,Bradford,AustralianPoliticians
Braithwaite1933,0F4,Braithwaite,Raymond,Ray,"Braithwaite, Ray",male,,Dawson,1933-12-06,,Mr Ray Braithwaite,Mr Braithwaite,MR RAY BRAITHWAITE,MR BRAITHWAITE,Braithwaite,AustralianPoliticians
Brand1888,JS7,Brand,William,,"Brand, William",male,,Wide Bay,1888-08-22,1979-10-26,Mr William Brand,Mr Brand,MR WILLIAM BRAND,MR BRAND,Brand,AustralianPoliticians
Breen1898,JS9,Breen,John,,"Breen, John",male,,Calare,,1966-02-05,Mr John Breen,Mr Breen,MR JOHN BREEN,MR BREEN,Breen,AustralianPoliticians
Brennan1873,JSC,Brennan,Francis,Frank,"Brennan, Frank",male,,Batman,,1950-11-06,Mr Frank Brennan,Mr Brennan,MR FRANK BRENNAN,MR BRENNAN,Brennan,AustralianPoliticians
Brereton1946,5T4,Brereton,Laurence,Laurie,"Brereton, Laurie",male,,Kingsford-Smith,1946-05-29,,Mr Laurie Brereton,Mr Brereton,MR LAURIE BRERETON,MR BRERETON,Brereton,AustralianPoliticians
BridgesMaxwell1929,JSE,Bridges-Maxwell,Crawford,William,"Bridges-Maxwell, William",male,,Robertson,1929-09-27,1992-04-15,Mr William Bridges-Maxwell,Mr Bridges-Maxwell,MR WILLIAM BRIDGES-MAXWELL,MR BRIDGES-MAXWELL,Bridges-Maxwell,AustralianPoliticians
Briggs1977,IYU,Briggs,Jamie,,"Briggs, Jamie",male,,Mayo,1977-06-09,,Mr Jamie Briggs,Mr Briggs,MR JAMIE BRIGGS,MR BRIGGS,Briggs,AustralianPoliticians
Brimblecombe1898,JSG,Brimblecombe,Wilfred,,"Brimblecombe, Wilfred",male,,Maranoa,1898-02-06,1973-09-14,Mr Wilfred Brimblecombe,Mr Brimblecombe,MR WILFRED BRIMBLECOMBE,MR BRIMBLECOMBE,Brimblecombe,AustralianPoliticians
Broad1975,30379,Broad,Andrew,,"Broad, Andrew",male,,Mallee,1975-07-02,,Mr Andrew Broad,Mr Broad,MR ANDREW BROAD,MR BROAD,Broad,AustralianPoliticians
Broadbent1950,MT4,Broadbent,Russell,,"Broadbent, Russell",male,,Monash,1950-12-25,,Mr Russell Broadbent,Mr Broadbent,MR RUSSELL BROADBENT,MR BROADBENT,Broadbent,AustralianPoliticians
