unique_id,name_id,surname,first_name,common_name,display_name,gender,state_abbrev,birth_date,death_date,form1,form2,form3,form4,form5,source
Back1950,J7Q,Back,Christopher,,"Back, Christopher",male,WA,1950-02-11,,Senator Christopher Back,Senator Back,Senator CHRISTOPHER BACK,Senator BACK,Senator Christopher BACK,AustralianPoliticians
Badman1885,JNM,Badman,Albert,,"Badman, Albert",male,SA,1885-12-18,1977-04-24,Senator Albert Badman,Senator Badman,Senator ALBERT BADMAN,Senator BADMAN,Senator Albert BADMAN,AustralianPoliticians
Baker1841,L2E,Baker,Richard,,"Baker, Richard",male,SA,1841-06-22,1911-03-18,Senator Richard Baker,Senator Baker,Senator RICHARD BAKER,Senator BAKER,Senator Richard BAKER,AustralianPoliticians
Bakhap1866,K18,Bakhap,Thomas,,"Bakhap, Thomas",male,TAS,1866-10-29,1923-08-18,Senator Thomas Bakhap,Senator Bakhap,Senator THOMAS BAKHAP,Senator BAKHAP,Senator Thomas BAKHAP,AustralianPoliticians
Barker1846,K1I,Barker,Stephen,,"Barker, Stephen",male,VIC,,1924-06-21,Senator Stephen Barker,Senator Barker,Senator STEPHEN BARKER,Senator BARKER,Senator Stephen BARKER,AustralianPoliticians
Barnes1868,K1L,Barnes,John,,"Barnes, John",male,VIC,1868-07-17,1938-01-31,Senator John Barnes,Senator Barnes,Senator JOHN BARNES,Senator BARNES,Senator John BARNES,AustralianPoliticians
Barnett1962,00AUF,Barnett,Guy,,"Barnett, Guy",male,TAS,1962-04-05,,Senator Guy Barnett,Senator Barnett,Senator GUY BARNETT,Senator BARNETT,Senator Guy BARNETT,AustralianPoliticians
Barrett1858,K1O,Barrett,John,,"Barrett, John",male,VIC,1858-12-17,1928-05-19,Senator John Barrett,Senator Barrett,Senator JOHN BARRETT,Senator BARRETT,Senator John BARRETT,AustralianPoliticians
Bartlett1964,DT6,Bartlett,Andrew,,"Bartlett, Andrew",male,QLD,1964-08-04,,Senator Andrew Bartlett,Senator Bartlett,Senator ANDREW BARTLETT,Senator BARTLETT,Senator Andrew BARTLETT,AustralianPoliticians
Barwell1877,K1P,Barwell,Henry,,"Barwell, Henry",male,SA,1877-02-26,1959-09-30,Senator Henry Barwell,Senator Barwell,Senator HENRY BARWELL,Senator BARWELL,Senator Henry BARWELL,AustralianPoliticians
Baume1930,LE4,Baume,Michael,,"Baume, Michael",male,NSW,1930-07-06,,Senator Michael Baume,Senator Baume,Senator MICHAEL BAUME,Senator BAUME,Senator Michael BAUME,AustralianPoliticians
Baume1935,ME4,Baume,Peter,,"Baume, Peter",male,NSW,1935-01-30,,Senator Peter Baume,Senator Baume,Senator PETER BAUME,Senator BAUME,Senator Peter BAUME,AustralianPoliticians
Beahan1937,NE4,Beahan,Michael,,"Beahan, Michael",male,WA,1937-01-21,,Senator Michael Beahan,Senator Beahan,Senator MICHAEL BEAHAN,Senator BEAHAN,Senator Michael BEAHAN,AustralianPoliticians
Beerworth1886,K1Q,Beerworth,Frederick,,"Beerworth, Frederick",male,SA,1886-05-17,1968-05-17,Senator Frederick Beerworth,Senator Beerworth,Senator FREDERICK BEERWORTH,Senator BEERWORTH,Senator Frederick BEERWORTH,AustralianPoliticians
Bell1950,7U4,Bell,Robert,,"Bell, Robert",male,TAS,1950-07-22,2001-09-05,Senator Robert Bell,Senator Bell,Senator ROBERT BELL,Senator BELL,Senator Robert BELL,AustralianPoliticians
Benn1897,K1T,Benn,Archibald,Archie,"Benn, Archie",male,QLD,1897-01-20,1980-04-03,Senator Archie Benn,Senator Benn,Senator ARCHIE BENN,Senator BENN,Senator Archie BENN,AustralianPoliticians
Benny1869,K1W,Benny,Benjamin,,"Benny, Benjamin",male,SA,1869-10-21,1935-02-10,Senator Benjamin Benny,Senator Benny,Senator BENJAMIN BENNY,Senator BENNY,Senator Benjamin BENNY,AustralianPoliticians
Bernardi1969,G0D,Bernardi,Cory,,"Bernardi, Cory",male,SA,1969-11-06,,Senator Cory Bernardi,Senator Bernardi,Senator CORY BERNARDI,Senator BERNARDI,Senator Cory BERNARDI,AustralianPoliticians
Bessell1923,K1X,Bessell,Eric,,"Bessell, Eric",male,TAS,1923-06-06,1979-03-10,Senator Eric Bessell,Senator Bessell,Senator ERIC BESSELL,Senator BESSELL,Senator Eric BESSELL,AustralianPoliticians
Best1856,JPC,Best,Robert,,"Best, Robert",male,VIC,1856-06-18,1946-03-27,Senator Robert Best,Senator Best,Senator ROBERT BEST,Senator BEST,Senator Robert BEST,AustralianPoliticians
Bilyk1959,HZB,Bilyk,Catryna,,"Bilyk, Catryna",female,TAS,1959-02-07,,Senator Catryna Bilyk,Senator Bilyk,Senator CATRYNA BILYK,Senator BILYK,Senator Catryna BILYK,AustralianPoliticians
Birmingham1974,H6X,Birmingham,Simon,,"Birmingham, Simon",male,SA,1974-06-14,,Senator Simon Birmingham,Senator Birmingham,Senator SIMON BIRMINGHAM,Senator BIRMINGHAM,Senator Simon BIRMINGHAM,AustralianPoliticians
Bishop1913,K1Y,Bishop,Reginald,Reg,"Bishop, Reg",male,SA,1913-02-04,1999-07-03,Senator Reg Bishop,Senator Bishop,Senator REG BISHOP,Senator BISHOP,Senator Reg BISHOP,AustralianPoliticians
Bishop1942,SE4,Bishop,Bronwyn,,"Bishop, Bronwyn",female,NSW,1942-10-19,,Senator Bronwyn Bishop,Senator Bishop,Senator BRONWYN BISHOP,Senator BISHOP,Senator Bronwyn BISHOP,AustralianPoliticians
Bishop1954,2L6,Bishop,Thomas,Mark,"Bishop, Mark",male,WA,1954-06-29,,Senator Mark Bishop,Senator Bishop,Senator MARK BISHOP,Senator BISHOP,Senator Mark BISHOP,AustralianPoliticians
BjelkePetersen1920,ND4,Bjelke-Petersen,Florence,,"Bjelke-Petersen, Florence",female,QLD,1920-08-11,2017-12-20,Senator Florence Bjelke-Petersen,Senator Bjelke-Petersen,Senator FLORENCE BJELKE-PETERSEN,Senator BJELKE-PETERSEN,Senator Florence BJELKE-PETERSEN,AustralianPoliticians
Black1952,TE4,Black,John,,"Black, John",male,QLD,1952-01-26,,Senator John Black,Senator Black,Senator JOHN BLACK,Senator BLACK,Senator John BLACK,AustralianPoliticians
Blakey1879,K22,Blakey,Albert,,"Blakey, Albert",male,VIC,1879-11-09,1935-07-04,Senator Albert Blakey,Senator Blakey,Senator ALBERT BLAKEY,Senator BLAKEY,Senator Albert BLAKEY,AustralianPoliticians
Bolkus1950,XE4,Bolkus,Nick,,"Bolkus, Nick",male,SA,1950-07-17,,Senator Nick Bolkus,Senator Bolkus,Senator NICK BOLKUS,Senator BOLKUS,Senator Nick BOLKUS,AustralianPoliticians
Bolton1860,K2C,Bolton,William,,"Bolton, William",male,VIC,1860-11-01,1941-09-08,Senator William Bolton,Senator Bolton,Senator WILLIAM BOLTON,Senator BOLTON,Senator William BOLTON,AustralianPoliticians
Bonner1922,0V4,Bonner,Neville,,"Bonner, Neville",male,QLD,1922-03-28,1999-02-05,Senator Neville Bonner,Senator Bonner,Senator NEVILLE BONNER,Senator BONNER,Senator Neville BONNER,AustralianPoliticians
Boswell1940,YE4,Boswell,Ronald,Ron,"Boswell, Ron",male,QLD,1940-12-09,,Senator Ron Boswell,Senator Boswell,Senator RON BOSWELL,Senator BOSWELL,Senator Ron BOSWELL,AustralianPoliticians
Bourne1954,TW4,Bourne,Vicki,,"Bourne, Vicki",female,NSW,1954-10-22,,Senator Vicki Bourne,Senator Bourne,Senator VICKI BOURNE,Senator BOURNE,Senator Vicki BOURNE,AustralianPoliticians
Boyce1951,H6V,Boyce,Suzanne,Sue,"Boyce, Sue",female,QLD,1951-03-15,,Senator Sue Boyce,Senator Boyce,Senator SUE BOYCE,Senator BOYCE,Senator Sue BOYCE,AustralianPoliticians
Bragg1984,256063,Bragg,Andrew,,"Bragg, Andrew",male,NSW,1984-07-11,,Senator Andrew Bragg,Senator Bragg,Senator ANDREW BRAGG,Senator BRAGG,Senator Andrew BRAGG,AustralianPoliticians
Brand1873,K2F,Brand,Charles,,"Brand, Charles",male,VIC,1873-09-04,1961-07-31,Senator Charles Brand,Senator Brand,Senator CHARLES BRAND,Senator BRAND,Senator Charles BRAND,AustralianPoliticians
Brandis1957,008W7,Brandis,George,,"Brandis, George",male,QLD,1957-06-22,,Senator George Brandis,Senator Brandis,Senator GEORGE BRANDIS,Senator BRANDIS,Senator George BRANDIS,AustralianPoliticians
Branson1918,K2I,Branson,George,,"Branson, George",male,WA,1918-02-23,1999-01-27,Senator George Branson,Senator Branson,Senator GEORGE BRANSON,Senator BRANSON,Senator George BRANSON,AustralianPoliticians
Breen1902,K2W,Breen,Marie,,"Breen, Marie",female,VIC,1902-11-03,1993-06-17,Senator Marie Breen,Senator Breen,Senator MARIE BREEN,Senator BREEN,Senator Marie BREEN,AustralianPoliticians
Brennan1866,K2Z,Brennan,Thomas,Tom,"Brennan, Tom",male,VIC,,1944-01-03,Senator Tom Brennan,Senator Brennan,Senator TOM BRENNAN,Senator BRENNAN,Senator Tom BRENNAN,AustralianPoliticians
Brockman1970,30484,Brockman,William,Slade,"Brockman, Slade",male,WA,1970-03-27,,Senator Slade Brockman,Senator Brockman,Senator SLADE BROCKMAN,Senator BROCKMAN,Senator Slade BROCKMAN,AustralianPoliticians
Brown1885,K6P,Brown,Gordon,,"Brown, Gordon",male,QLD,1885-02-11,1967-01-12,Senator Gordon Brown,Senator Brown,Senator GORDON BROWN,Senator BROWN,Senator Gordon BROWN,AustralianPoliticians
Brown1920,K3A,Brown,William,Bill,"Brown, Bill",male,VIC,1920-12-04,2001-06-26,Senator Bill Brown,Senator Brown,Senator BILL BROWN,Senator BROWN,Senator Bill BROWN,AustralianPoliticians
Brown1944,QD4,Brown,Robert,"Bob, Senator","Brown, Bob, Senator",male,TAS,1944-12-27,,"Senator Bob, Senator Brown",Senator Brown,"Senator BOB, SENATOR BROWN",Senator BROWN,"Senator Bob, Senator BROWN",AustralianPoliticians
Brown1963,F49,Brown,Carol,,"Brown, Carol",female,TAS,1963-07-19,,Senator Carol Brown,Senator Brown,Senator CAROL BROWN,Senator BROWN,Senator Carol BROWN,AustralianPoliticians
Brownhill1935,RD4,Brownhill,David,,"Brownhill, David",male,NSW,1935-11-16,,Senator David Brownhill,Senator Brownhill,Senator DAVID BROWNHILL,Senator BROWNHILL,Senator David BROWNHILL,AustralianPoliticians
Buckland1947,009D2,Buckland,Geoffrey,Geoff,"Buckland, Geoff",male,SA,1947-11-10,,Senator Geoff Buckland,Senator Buckland,Senator GEOFF BUCKLAND,Senator BUCKLAND,Senator Geoff BUCKLAND,AustralianPoliticians
Bull1905,K3J,Bull,Thomas,Tom,"Bull, Tom",male,NSW,1905-09-07,1976-08-11,Senator Tom Bull,Senator Bull,Senator TOM BULL,Senator BULL,Senator Tom BULL,AustralianPoliticians
Bullock1955,243237,Bullock,Joseph,Joe,"Bullock, Joe",male,WA,1955-04-13,,Senator Joe Bullock,Senator Bullock,Senator JOE BULLOCK,Senator BULLOCK,Senator Joe BULLOCK,AustralianPoliticians
Bunton1902,K3N,Bunton,Cleaver,,"Bunton, Cleaver",male,NSW,1902-05-05,1999-01-20,Senator Cleaver Bunton,Senator Bunton,Senator CLEAVER BUNTON,Senator BUNTON,Senator Cleaver BUNTON,AustralianPoliticians
Burns1929,2F4,Burns,Bryant,,"Burns, Bryant",male,QLD,1929-03-24,,Senator Bryant Burns,Senator Burns,Senator BRYANT BURNS,Senator BURNS,Senator Bryant BURNS,AustralianPoliticians
Burston1948,207807,Burston,Brian,,"Burston, Brian",male,NSW,1948-02-25,,Senator Brian Burston,Senator Burston,Senator BRIAN BURSTON,Senator BURSTON,Senator Brian BURSTON,AustralianPoliticians
Bushby1965,HLL,Bushby,David,,"Bushby, David",male,TAS,1965-07-17,,Senator David Bushby,Senator Bushby,Senator DAVID BUSHBY,Senator BUSHBY,Senator David BUSHBY,AustralianPoliticians
Buttfield1912,K3O,Buttfield,Nancy,,"Buttfield, Nancy",female,SA,1912-11-12,2005-09-04,Senator Nancy Buttfield,Senator Buttfield,Senator NANCY BUTTFIELD,Senator BUTTFIELD,Senator Nancy BUTTFIELD,AustralianPoliticians
Button1932,4F4,Button,John,,"Button, John",male,VIC,1932-06-30,2008-04-08,Senator John Button,Senator Button,Senator JOHN BUTTON,Senator BUTTON,Senator John BUTTON,AustralianPoliticians
Buzacott1867,K3Q,Buzacott,Richard,Dick,"Buzacott, Dick",male,WA,1867-09-07,1933-01-10,Senator Dick Buzacott,Senator Buzacott,Senator DICK BUZACOTT,Senator BUZACOTT,Senator Dick BUZACOTT,AustralianPoliticians
Byrne1910,K3R,Byrne,Condon,,"Byrne, Condon",male,QLD,1910-05-25,1993-11-25,Senator Condon Byrne,Senator Byrne,Senator CONDON BYRNE,Senator BYRNE,Senator Condon BYRNE,AustralianPoliticians
Calvert1940,5F4,Calvert,Paul,,"Calvert, Paul",male,TAS,1940-01-19,,Senator Paul Calvert,Senator Calvert,Senator PAUL CALVERT,Senator CALVERT,Senator Paul CALVERT,AustralianPoliticians
Cameron1857,K3S,Cameron,Cyril,,"Cameron, Cyril",male,TAS,1857-12-05,1941-12-22,Senator Cyril Cameron,Senator Cameron,Senator CYRIL CAMERON,Senator CAMERON,Senator Cyril CAMERON,AustralianPoliticians
Cameron1878,L8E,Cameron,Donald,Don,"Cameron, Don",male,VIC,1878-01-19,1962-08-20,Senator Don Cameron,Senator Cameron,Senator DON CAMERON,Senator CAMERON,Senator Don CAMERON,AustralianPoliticians
Cameron1914,K3T,Cameron,Donald,Don Newton,"Cameron, Don Newton",male,SA,1914-01-13,1998-06-05,Senator Don Newton Cameron,Senator Cameron,Senator DON NEWTON CAMERON,Senator CAMERON,Senator Don Newton CAMERON,AustralianPoliticians
Cameron1935,K3V,Cameron,Martin,,"Cameron, Martin",male,SA,1935-08-24,,Senator Martin Cameron,Senator Cameron,Senator MARTIN CAMERON,Senator CAMERON,Senator Martin CAMERON,AustralianPoliticians
CameronDouglas1951,AI6,Cameron,Douglas,Doug,"Cameron, Doug",male,NSW,1951-01-27,,Senator Doug Cameron,Senator Cameron,Senator DOUG CAMERON,Senator CAMERON,Senator Doug CAMERON,AustralianPoliticians
Campbell1943,NB5,Campbell,George,,"Campbell, George",male,NSW,1943-02-18,,Senator George Campbell,Senator Campbell,Senator GEORGE CAMPBELL,Senator CAMPBELL,Senator George CAMPBELL,AustralianPoliticians
Campbell1959,H15,Campbell,Ian,,"Campbell, Ian",male,WA,1959-05-22,,Senator Ian Campbell,Senator Campbell,Senator IAN CAMPBELL,Senator CAMPBELL,Senator Ian CAMPBELL,AustralianPoliticians
Canavan1980,245212,Canavan,Matthew,Matt,"Canavan, Matt",male,QLD,1980-12-17,,Senator Matt Canavan,Senator Canavan,Senator MATT CANAVAN,Senator CANAVAN,Senator Matt CANAVAN,AustralianPoliticians
Cant1907,K3W,Cant,Hartley,Harry,"Cant, Harry",male,WA,1907-11-19,1977-03-03,Senator Harry Cant,Senator Cant,Senator HARRY CANT,Senator CANT,Senator Harry CANT,AustralianPoliticians
Carr1947,WX4,Carr,Robert,Bob,"Carr, Bob",male,NSW,1947-09-28,,Senator Bob Carr,Senator Carr,Senator BOB CARR,Senator CARR,Senator Bob CARR,AustralianPoliticians
Carr1955,AW5,Carr,Kim,,"Carr, Kim",male,VIC,1955-07-02,,Senator Kim Carr,Senator Carr,Senator KIM CARR,Senator CARR,Senator Kim CARR,AustralianPoliticians
Carrick1918,2U4,Carrick,John,,"Carrick, John",male,NSW,1918-09-04,2018-05-18,Senator John Carrick,Senator Carrick,Senator JOHN CARRICK,Senator CARRICK,Senator John CARRICK,AustralianPoliticians
Carroll1872,K3X,Carroll,William,,"Carroll, William",male,WA,1872-01-03,1936-05-30,Senator William Carroll,Senator Carroll,Senator WILLIAM CARROLL,Senator CARROLL,Senator William CARROLL,AustralianPoliticians
Cash1970,I0M,Cash,Michaelia,,"Cash, Michaelia",female,WA,1970-07-19,,Senator Michaelia Cash,Senator Cash,Senator MICHAELIA CASH,Senator CASH,Senator Michaelia CASH,AustralianPoliticians
Cavanagh1913,K6F,Cavanagh,James,Jim,"Cavanagh, Jim",male,SA,1913-06-21,1990-08-19,Senator Jim Cavanagh,Senator Cavanagh,Senator JIM CAVANAGH,Senator CAVANAGH,Senator Jim CAVANAGH,AustralianPoliticians
Chamarette1948,SN5,Chamarette,Christabel,,"Chamarette, Christabel",female,WA,1948-05-01,,Senator Christabel Chamarette,Senator Chamarette,Senator CHRISTABEL CHAMARETTE,Senator CHAMARETTE,Senator Christabel CHAMARETTE,AustralianPoliticians
Chamberlain1884,K6H,Chamberlain,John,Jack,"Chamberlain, Jack",male,TAS,1884-04-29,1953-01-16,Senator Jack Chamberlain,Senator Chamberlain,Senator JACK CHAMBERLAIN,Senator CHAMBERLAIN,Senator Jack CHAMBERLAIN,AustralianPoliticians
Chandler1990,264449,Chandler,Claire,,"Chandler, Claire",female,TAS,1990-06-01,,Senator Claire Chandler,Senator Chandler,Senator CLAIRE CHANDLER,Senator CHANDLER,Senator Claire CHANDLER,AustralianPoliticians
Chaney1941,EF4,Chaney,Frederick,Fred Michael,"Chaney, Fred Michael",male,WA,1941-10-28,,Senator Fred Michael Chaney,Senator Chaney,Senator FRED MICHAEL CHANEY,Senator CHANEY,Senator Fred Michael CHANEY,AustralianPoliticians
Chapman1879,K6I,Chapman,John,,"Chapman, John",male,SA,1879-12-16,1931-03-14,Senator John Chapman,Senator Chapman,Senator JOHN CHAPMAN,Senator CHAPMAN,Senator John CHAPMAN,AustralianPoliticians
Chapman1949,FF4,Chapman,Hedley,Grant,"Chapman, Grant",male,SA,1949-04-27,,Senator Grant Chapman,Senator Chapman,Senator GRANT CHAPMAN,Senator CHAPMAN,Senator Grant CHAPMAN,AustralianPoliticians
Charleston1848,K6J,Charleston,David,,"Charleston, David",male,SA,1848-05-27,1934-06-30,Senator David Charleston,Senator Charleston,Senator DAVID CHARLESTON,Senator CHARLESTON,Senator David CHARLESTON,AustralianPoliticians
Chataway1864,K6L,Chataway,Thomas,,"Chataway, Thomas",male,QLD,1864-04-06,1925-03-05,Senator Thomas Chataway,Senator Chataway,Senator THOMAS CHATAWAY,Senator CHATAWAY,Senator Thomas CHATAWAY,AustralianPoliticians
Cherry1965,00A9C,Cherry,John,,"Cherry, John",male,QLD,1965-05-22,,Senator John Cherry,Senator Cherry,Senator JOHN CHERRY,Senator CHERRY,Senator John CHERRY,AustralianPoliticians
Childs1934,IF4,Childs,Bruce,,"Childs, Bruce",male,NSW,1934-08-23,,Senator Bruce Childs,Senator Childs,Senator BRUCE CHILDS,Senator CHILDS,Senator Bruce CHILDS,AustralianPoliticians
Chipp1925,3V4,Chipp,Donald,Don,"Chipp, Don",male,VIC,1925-08-21,2006-08-28,Senator Don Chipp,Senator Chipp,Senator DON CHIPP,Senator CHIPP,Senator Don CHIPP,AustralianPoliticians
Chisholm1978,39801,Chisholm,Anthony,,"Chisholm, Anthony",male,QLD,1978-02-24,,Senator Anthony Chisholm,Senator Chisholm,Senator ANTHONY CHISHOLM,Senator CHISHOLM,Senator Anthony CHISHOLM,AustralianPoliticians
Ciccone1983,281503,Ciccone,Raffaele,Raff,"Ciccone, Raff",male,VIC,1983-11-01,,Senator Raff Ciccone,Senator Ciccone,Senator RAFF CICCONE,Senator CICCONE,Senator Raff CICCONE,AustralianPoliticians
Clemons1862,K6M,Clemons,John,,"Clemons, John",male,TAS,1862-03-24,1944-11-10,Senator John Clemons,Senator Clemons,Senator JOHN CLEMONS,Senator CLEMONS,Senator John CLEMONS,AustralianPoliticians
Clothier1877,K6N,Clothier,Robert,,"Clothier, Robert",male,WA,1877-03-26,1964-05-31,Senator Robert Clothier,Senator Clothier,Senator ROBERT CLOTHIER,Senator CLOTHIER,Senator Robert CLOTHIER,AustralianPoliticians
Coates1944,LF4,Coates,John,,"Coates, John",male,TAS,1944-03-23,,Senator John Coates,Senator Coates,Senator JOHN COATES,Senator COATES,Senator John COATES,AustralianPoliticians
Cohen1918,K6R,Cohen,Samuel,Sam,"Cohen, Sam",male,VIC,1918-10-26,1969-10-07,Senator Sam Cohen,Senator Cohen,Senator SAM COHEN,Senator COHEN,Senator Sam COHEN,AustralianPoliticians
Colbeck1958,00AOL,Colbeck,Richard,,"Colbeck, Richard",male,TAS,1958-04-05,,Senator Richard Colbeck,Senator Colbeck,Senator RICHARD COLBECK,Senator COLBECK,Senator Richard COLBECK,AustralianPoliticians
Cole1908,K6W,Cole,George,,"Cole, George",male,TAS,1908-02-09,1969-01-23,Senator George Cole,Senator Cole,Senator GEORGE COLE,Senator COLE,Senator George COLE,AustralianPoliticians
Colebatch1872,K7F,Colebatch,Harry,Hal,"Colebatch, Hal",male,WA,1872-03-29,1953-02-12,Senator Hal Colebatch,Senator Colebatch,Senator HAL COLEBATCH,Senator COLEBATCH,Senator Hal COLEBATCH,AustralianPoliticians
Coleman1931,5V4,Coleman,Ruth,,"Coleman, Ruth",female,WA,1931-09-27,2008-03-27,Senator Ruth Coleman,Senator Coleman,Senator RUTH COLEMAN,Senator COLEMAN,Senator Ruth COLEMAN,AustralianPoliticians
Collard1936,K7H,Collard,Stanley,Stan,"Collard, Stan",male,QLD,1936-03-25,,Senator Stan Collard,Senator Collard,Senator STAN COLLARD,Senator COLLARD,Senator Stan COLLARD,AustralianPoliticians
Collett1877,K7M,Collett,Herbert,,"Collett, Herbert",male,WA,1877-11-12,1947-08-15,Senator Herbert Collett,Senator Collett,Senator HERBERT COLLETT,Senator COLLETT,Senator Herbert COLLETT,AustralianPoliticians
Collings1865,K7P,Collings,Joseph,Joe,"Collings, Joe",male,QLD,1865-05-11,1955-06-20,Senator Joe Collings,Senator Collings,Senator JOE COLLINGS,Senator COLLINGS,Senator Joe COLLINGS,AustralianPoliticians
Collins1946,OF4,Collins,Robert,Bob,"Collins, Bob",male,NT,1946-02-08,2007-09-21,Senator Bob Collins,Senator Collins,Senator BOB COLLINS,Senator COLLINS,Senator Bob COLLINS,AustralianPoliticians
Collins1962,GB6,Collins,Jacinta,,"Collins, Jacinta",female,VIC,1962-09-04,,Senator Jacinta Collins,Senator Collins,Senator JACINTA COLLINS,Senator COLLINS,Senator Jacinta COLLINS,AustralianPoliticians
